,score,accuracy,pred_rate
0,147,63.687150837988824,7.16
1,180,68.75,6.4
2,201,69.36416184971098,6.92
3,171,67.70186335403726,6.4399999999999995
4,78,57.47126436781609,6.959999999999999
5,117,61.53846153846154,6.76
6,162,66.66666666666666,6.4799999999999995
7,156,65.29411764705883,6.800000000000001
8,168,65.9090909090909,7.04
9,177,67.45562130177515,6.76
10,168,67.5,6.4
11,108,60.46511627906976,6.88
12,93,58.37837837837838,7.3999999999999995
13,153,65.83850931677019,6.4399999999999995
14,144,63.95348837209303,6.88
15,177,67.2514619883041,6.84
16,216,71.17647058823529,6.800000000000001
17,120,61.49425287356321,6.959999999999999
18,165,66.66666666666666,6.6000000000000005
19,147,64.49704142011834,6.76
20,144,64.11764705882354,6.800000000000001
21,192,68.6046511627907,6.88
22,198,69.87951807228916,6.64
23,147,64.84848484848484,6.6000000000000005
24,54,55.42168674698795,6.64
25,87,58.19209039548022,7.08
26,159,65.68047337278107,6.76
27,138,62.77777777777778,7.199999999999999
28,168,66.47058823529412,6.800000000000001
29,171,66.66666666666666,6.84
30,195,69.00584795321637,6.84
31,201,69.8224852071006,6.76
32,105,60.73619631901841,6.52
33,117,61.53846153846154,6.76
34,156,65.29411764705883,6.800000000000001
35,207,69.94219653179191,6.92
36,147,64.16184971098265,6.92
37,195,69.00584795321637,6.84
38,204,69.76744186046511,6.88
39,132,63.095238095238095,6.72
40,138,63.2183908045977,6.959999999999999
41,192,68.82352941176471,6.800000000000001
42,186,68.23529411764706,6.800000000000001
43,69,56.64739884393064,6.92
44,225,71.67630057803468,6.92
45,177,67.66467065868264,6.68
46,114,61.44578313253012,6.64
47,114,61.58536585365854,6.5600000000000005
48,120,62.34567901234568,6.4799999999999995
49,99,59.32203389830508,7.08
50,138,63.06818181818182,7.04
51,132,63.25301204819277,6.64
52,201,70.5521472392638,6.52
53,123,62.57668711656442,6.52
54,162,65.88235294117646,6.800000000000001
55,141,63.58381502890174,6.92
56,189,68.20809248554913,6.92
57,120,61.627906976744185,6.88
58,183,68.48484848484848,6.6000000000000005
59,102,59.55056179775281,7.12
60,150,65.06024096385542,6.64
61,117,61.142857142857146,7.000000000000001
62,177,68.09815950920245,6.52
63,138,64.19753086419753,6.4799999999999995
64,138,63.69047619047619,6.72
65,108,60.22727272727273,7.04
66,219,71.34502923976608,6.84
67,222,70.78651685393258,7.12
68,222,72.5609756097561,6.5600000000000005
69,144,63.95348837209303,6.88
70,192,68.18181818181817,7.04
71,237,73.65269461077844,6.68
72,135,63.63636363636363,6.6000000000000005
73,186,67.81609195402298,6.959999999999999
74,117,60.773480662983424,7.24
75,228,73.75,6.4
76,156,64.77272727272727,7.04
77,141,63.128491620111724,7.16
78,177,67.2514619883041,6.84
79,114,61.1764705882353,6.800000000000001
80,150,63.888888888888886,7.199999999999999
81,168,66.86746987951807,6.64
82,132,63.095238095238095,6.72
83,189,69.32515337423312,6.52
84,99,59.88023952095808,6.68
85,195,68.78612716763006,6.92
86,168,66.66666666666666,6.72
87,117,61.142857142857146,7.000000000000001
88,162,66.26506024096386,6.64
89,174,68.58974358974359,6.239999999999999
90,156,65.66265060240963,6.64
91,180,67.85714285714286,6.72
92,162,66.26506024096386,6.64
93,81,57.14285714285714,7.5600000000000005
94,147,64.16184971098265,6.92
95,84,57.95454545454546,7.04
96,141,62.56684491978609,7.48
97,108,59.67741935483871,7.4399999999999995
98,183,67.63005780346822,6.92
99,120,61.36363636363637,7.04
