,score,accuracy,pred_rate
0,15,51.141552511415526,8.76
1,-18,48.63636363636364,8.799999999999999
2,-18,48.64864864864865,8.88
3,-9,49.321266968325794,8.84
4,15,51.10132158590308,9.08
5,36,52.654867256637175,9.04
6,96,57.407407407407405,8.64
7,120,58.47457627118644,9.44
8,123,59.90338164251207,8.28
9,126,59.63302752293578,8.72
10,45,53.39366515837104,8.84
11,33,52.51141552511416,8.76
12,15,51.1520737327189,8.68
13,-3,49.775784753363226,8.92
14,0,50.0,9.2
15,12,50.93457943925234,8.559999999999999
16,6,50.45045045045045,8.88
17,57,54.377880184331794,8.68
18,57,54.63414634146342,8.200000000000001
19,-9,49.30232558139535,8.6
20,6,50.43859649122807,9.120000000000001
21,63,54.794520547945204,8.76
22,3,50.22026431718062,9.08
23,-3,49.7737556561086,8.84
24,81,56.27906976744186,8.6
25,54,54.054054054054056,8.88
26,78,55.75221238938053,9.04
27,45,53.39366515837104,8.84
28,27,52.07373271889401,8.68
29,90,56.69642857142857,8.959999999999999
30,72,55.35714285714286,8.959999999999999
31,6,50.467289719626166,8.559999999999999
32,69,55.25114155251142,8.76
33,39,52.838427947598255,9.16
34,117,58.9041095890411,8.76
35,12,50.877192982456144,9.120000000000001
36,135,60.36866359447005,8.68
37,147,60.698689956331876,9.16
38,72,55.172413793103445,9.28
39,129,59.817351598173516,8.76
40,66,54.824561403508774,9.120000000000001
41,129,59.907834101382484,8.68
42,54,54.166666666666664,8.64
43,39,52.76595744680851,9.4
44,12,50.89285714285714,8.959999999999999
45,-33,47.465437788018434,8.68
46,21,51.58371040723983,8.84
47,78,55.85585585585585,8.88
48,9,50.72463768115942,8.28
49,-30,47.78761061946903,9.04
50,129,59.55555555555555,9.0
51,15,51.173708920187785,8.52
52,-18,48.64864864864865,8.88
53,24,51.886792452830186,8.48
54,81,56.10859728506787,8.84
55,117,58.744394618834086,8.92
56,12,50.92592592592593,8.64
57,39,52.81385281385281,9.24
58,33,52.34042553191489,9.4
59,51,53.77777777777778,9.0
60,-45,46.78111587982833,9.32
61,-15,48.87892376681614,8.92
62,90,57.009345794392516,8.559999999999999
63,-15,48.90829694323144,9.16
64,78,55.85585585585585,8.88
65,123,59.19282511210763,8.92
66,3,50.224215246636774,8.92
67,48,53.6036036036036,8.88
68,63,54.794520547945204,8.76
69,57,54.418604651162795,8.6
70,30,52.27272727272727,8.799999999999999
71,-51,46.118721461187214,8.76
72,66,55.00000000000001,8.799999999999999
73,48,53.38983050847458,9.44
74,66,55.28846153846154,8.32
75,-81,44.10480349344978,9.16
76,108,58.03571428571429,8.959999999999999
77,81,56.16438356164384,8.76
78,45,53.42465753424658,8.76
79,-3,49.78165938864629,9.16
80,21,51.52838427947598,9.16
81,6,50.47169811320755,8.48
82,-6,49.54545454545455,8.799999999999999
83,-18,48.58490566037736,8.48
84,-27,47.906976744186046,8.6
85,132,60.37735849056604,8.48
86,-15,48.90829694323144,9.16
87,12,50.90909090909091,8.799999999999999
88,72,55.35714285714286,8.959999999999999
89,84,56.481481481481474,8.64
90,12,50.9009009009009,8.88
91,60,54.629629629629626,8.64
92,75,55.60538116591929,8.92
93,-18,48.68421052631579,9.120000000000001
94,84,56.36363636363636,8.799999999999999
95,33,52.53456221198156,8.68
96,45,53.39366515837104,8.84
97,108,58.256880733944946,8.72
98,-111,41.474654377880185,8.68
99,-21,48.497854077253216,9.32
