,score,accuracy,pred_rate
0,261,69.68325791855203,8.84
1,366,79.6116504854369,8.24
2,189,65.21739130434783,8.28
3,267,70.89201877934272,8.52
4,273,71.16279069767441,8.6
5,264,70.56074766355141,8.559999999999999
6,258,70.47619047619048,8.4
7,258,70.28301886792453,8.48
8,264,71.56862745098039,8.16
9,207,66.35071090047393,8.44
10,240,68.51851851851852,8.64
11,282,71.75925925925925,8.64
12,183,64.31924882629107,8.52
13,333,76.55502392344498,8.36
14,258,69.19642857142857,8.959999999999999
15,255,70.53140096618358,8.28
16,258,70.87378640776699,8.24
17,174,63.55140186915887,8.559999999999999
18,333,76.55502392344498,8.36
19,237,68.0365296803653,8.76
20,261,70.23255813953489,8.6
21,192,64.03508771929825,9.120000000000001
22,261,71.64179104477611,8.04
23,327,75.34883720930232,8.6
24,279,72.6829268292683,8.200000000000001
25,318,75.72815533980582,8.24
26,324,76.2135922330097,8.24
27,282,72.16981132075472,8.48
28,258,70.09345794392523,8.559999999999999
29,213,66.82464454976304,8.44
30,237,68.54460093896714,8.52
31,135,60.18099547511312,8.84
32,294,73.7864077669903,8.24
33,201,65.87677725118483,8.44
34,279,71.23287671232876,8.76
35,282,72.59615384615384,8.32
36,249,69.66824644549763,8.44
37,318,75.23809523809524,8.4
38,291,72.35023041474655,8.68
39,222,67.12962962962963,8.64
40,348,79.0,8.0
41,396,80.55555555555556,8.64
42,195,64.97695852534562,8.68
43,309,74.64114832535886,8.36
44,336,75.45454545454545,8.799999999999999
45,339,77.29468599033817,8.28
46,249,71.28205128205128,7.8
47,168,62.612612612612615,8.88
48,219,67.8048780487805,8.200000000000001
49,228,68.26923076923077,8.32
50,312,74.07407407407408,8.64
51,291,72.76995305164318,8.52
52,294,72.68518518518519,8.64
53,192,64.95327102803739,8.559999999999999
54,342,77.14285714285715,8.4
55,324,76.47058823529412,8.16
56,222,66.51785714285714,8.959999999999999
57,216,68.18181818181817,7.920000000000001
58,201,66.50246305418719,8.12
59,288,72.64150943396226,8.48
60,267,71.29186602870813,8.36
61,186,63.716814159292035,9.04
62,342,77.66990291262135,8.24
63,201,65.87677725118483,8.44
64,216,67.14285714285714,8.4
65,315,73.12775330396477,9.08
66,213,66.98564593301435,8.36
67,258,69.9074074074074,8.64
68,228,67.27272727272727,8.799999999999999
69,186,64.76190476190476,8.4
70,273,71.98067632850241,8.28
71,381,80.38277511961722,8.36
72,270,71.63461538461539,8.32
73,261,71.64179104477611,8.04
74,231,67.2645739910314,8.92
75,291,71.74887892376681,8.92
76,312,75.49019607843137,8.16
77,234,68.39622641509435,8.48
78,225,66.9683257918552,8.84
79,234,68.93203883495146,8.24
80,237,68.89952153110048,8.36
81,252,70.79207920792079,8.08
82,333,75.57603686635944,8.68
83,270,71.63461538461539,8.32
84,246,70.09803921568627,8.16
85,219,66.22222222222223,9.0
86,234,67.88990825688074,8.72
87,288,72.64150943396226,8.48
88,315,75.36231884057972,8.28
89,213,66.06334841628959,8.84
90,294,73.11320754716981,8.48
91,195,65.55023923444976,8.36
92,294,72.89719626168224,8.559999999999999
93,114,58.71559633027523,8.72
94,261,70.04608294930875,8.68
95,243,69.19431279620854,8.44
96,312,75.0,8.32
97,222,68.13725490196079,8.16
98,252,70.79207920792079,8.08
99,294,73.33333333333333,8.4
