,score,accuracy,pred_rate
0,-225,31.88405797101449,8.28
1,-87,42.56410256410256,7.8
2,-96,41.01123595505618,7.12
3,-201,32.82051282051282,7.8
4,-69,43.71584699453552,7.32
5,-96,41.578947368421055,7.6
6,-180,35.714285714285715,8.4
7,-216,32.857142857142854,8.4
8,-123,39.59390862944163,7.88
9,-210,32.323232323232325,7.920000000000001
10,-75,43.78109452736319,8.04
11,-114,40.5,8.0
12,-90,42.02127659574468,7.5200000000000005
13,-66,44.554455445544555,8.08
14,-147,37.30569948186528,7.720000000000001
15,-51,45.3551912568306,7.32
16,-129,39.71291866028708,8.36
17,-99,41.62436548223351,7.88
18,-66,44.27083333333333,7.68
19,-174,35.78431372549019,8.16
20,-129,38.7434554973822,7.64
21,-18,48.29545454545455,7.04
22,-105,40.83769633507853,7.64
23,-144,36.95652173913043,7.359999999999999
24,-57,44.80874316939891,7.32
25,-102,41.41414141414141,7.920000000000001
26,-105,40.83769633507853,7.64
27,-78,42.5287356321839,6.959999999999999
28,-195,34.59715639810427,8.44
29,-66,44.21052631578947,7.6
30,-147,37.93103448275862,8.12
31,-150,38.53211009174312,8.72
32,-204,33.80952380952381,8.4
33,-156,37.254901960784316,8.16
34,69,56.886227544910184,6.68
35,-141,38.75598086124402,8.36
36,-282,28.82882882882883,8.88
37,-198,34.13461538461539,8.32
38,-252,31.41592920353982,9.04
39,-192,33.6734693877551,7.84
40,-21,48.06629834254144,7.24
41,-120,40.0,8.0
42,-114,40.5,8.0
43,-165,37.2093023255814,8.6
44,-153,36.64921465968586,7.64
45,-201,33.65853658536586,8.200000000000001
46,-267,29.86425339366516,8.84
47,-105,40.43715846994536,7.32
48,-102,41.41414141414141,7.920000000000001
49,-24,47.91666666666667,7.68
50,-117,40.758293838862556,8.44
51,-30,47.42268041237113,7.76
52,-105,40.83769633507853,7.64
53,-123,39.37823834196891,7.720000000000001
54,-78,43.15789473684211,7.6
55,-111,40.609137055837564,7.88
56,-150,37.244897959183675,7.84
57,-99,40.88397790055249,7.24
58,-60,44.73684210526316,7.6
59,-78,43.01075268817204,7.4399999999999995
60,-42,46.391752577319586,7.76
61,-210,32.5,8.0
62,-144,37.755102040816325,7.84
63,-123,40.19138755980861,8.36
64,-189,34.48275862068966,8.12
65,-168,35.56701030927835,7.76
66,-15,48.63387978142077,7.32
67,-87,42.32804232804233,7.5600000000000005
68,-33,47.05882352941176,7.48
69,-156,37.61904761904762,8.4
70,-129,39.19597989949749,7.960000000000001
71,-153,37.3134328358209,8.04
72,-114,40.20618556701031,7.76
73,-48,45.876288659793815,7.76
74,-198,34.57943925233645,8.559999999999999
75,-69,43.85026737967914,7.48
76,-228,32.242990654205606,8.559999999999999
77,-129,39.30348258706468,8.04
78,-210,33.94495412844037,8.72
79,54,55.172413793103445,6.959999999999999
80,-96,41.66666666666667,7.68
81,-141,38.64734299516908,8.28
82,-174,36.05769230769231,8.32
83,-18,48.38709677419355,7.4399999999999995
84,-159,36.68341708542713,7.960000000000001
85,-60,44.565217391304344,7.359999999999999
86,3,50.28571428571429,7.000000000000001
87,-114,40.0,7.6
88,-51,45.59585492227979,7.720000000000001
89,-165,35.602094240837694,7.64
90,-63,44.61538461538462,7.8
91,-93,41.53005464480874,7.32
92,-51,45.2513966480447,7.16
93,-57,44.97354497354497,7.5600000000000005
94,-159,37.558685446009385,8.52
95,-60,44.680851063829785,7.5200000000000005
96,-210,34.090909090909086,8.799999999999999
97,-33,46.927374301675975,7.16
98,-135,39.130434782608695,8.28
99,-156,37.5,8.32
