,score,accuracy,pred_rate
0,-447,18.29787234042553,9.4
1,-432,17.857142857142858,8.959999999999999
2,-456,18.067226890756302,9.520000000000001
3,-387,20.54794520547945,8.76
4,-396,22.727272727272727,9.68
5,-432,18.695652173913043,9.2
6,-510,16.0,10.0
7,-387,20.81447963800905,8.84
8,-456,17.52136752136752,9.36
9,-306,25.0,8.16
10,-423,19.213973799126638,9.16
11,-459,16.593886462882097,9.16
12,-426,18.303571428571427,8.959999999999999
13,-363,21.32701421800948,8.44
14,-342,23.11320754716981,8.48
15,-456,16.666666666666664,9.120000000000001
16,-447,18.828451882845187,9.56
17,-486,15.966386554621847,9.520000000000001
18,-402,21.120689655172413,9.28
19,-450,19.262295081967213,9.76
20,-363,22.624434389140273,8.84
21,-462,17.916666666666668,9.6
22,-486,16.25,9.6
23,-540,15.384615384615385,10.4
24,-369,20.85308056872038,8.44
25,-405,21.518987341772153,9.48
26,-399,20.444444444444446,9.0
27,-450,17.105263157894736,9.120000000000001
28,-402,20.614035087719298,9.120000000000001
29,-357,22.58064516129032,8.68
30,-378,21.363636363636363,8.799999999999999
31,-471,18.218623481781375,9.879999999999999
32,-471,16.30901287553648,9.32
33,-351,21.73913043478261,8.28
34,-318,25.0,8.48
35,-231,30.256410256410255,7.8
36,-366,22.52252252252252,8.88
37,-450,18.487394957983195,9.520000000000001
38,-432,19.491525423728813,9.44
39,-408,19.36936936936937,8.88
40,-375,22.943722943722943,9.24
41,-306,24.752475247524753,8.08
42,-342,22.596153846153847,8.32
43,-420,18.181818181818183,8.799999999999999
44,-378,21.100917431192663,8.72
45,-378,21.363636363636363,8.799999999999999
46,-510,15.725806451612904,9.92
47,-492,15.833333333333332,9.6
48,-507,14.644351464435147,9.56
49,-447,16.289592760180994,8.84
50,-453,18.410041841004183,9.56
51,-375,21.71945701357466,8.84
52,-456,18.067226890756302,9.520000000000001
53,-522,15.2,10.0
54,-324,25.454545454545453,8.799999999999999
55,-456,17.24137931034483,9.28
56,-381,21.777777777777775,9.0
57,-351,24.229074889867842,9.08
58,-399,18.48341232227488,8.44
59,-516,15.32258064516129,9.92
60,-465,18.367346938775512,9.8
61,-462,15.929203539823009,9.04
62,-369,22.90748898678414,9.08
63,-471,17.154811715481173,9.56
64,-411,20.087336244541483,9.16
65,-453,18.672199170124482,9.64
66,-435,17.48878923766816,8.92
67,-465,17.02127659574468,9.4
68,-441,17.903930131004365,9.16
69,-411,19.004524886877828,8.84
70,-459,17.4468085106383,9.4
71,-432,17.56756756756757,8.88
72,-468,16.666666666666664,9.36
73,-507,14.345991561181433,9.48
74,-279,26.39593908629442,7.88
75,-465,16.738197424892704,9.32
76,-558,13.671875,10.24
77,-351,21.463414634146343,8.200000000000001
78,-399,19.90950226244344,8.84
79,-597,12.452830188679245,10.6
80,-279,27.96208530805687,8.44
81,-375,21.973094170403588,8.92
82,-522,14.049586776859504,9.68
83,-339,23.963133640552993,8.68
84,-423,19.480519480519483,9.24
85,-318,23.762376237623762,8.08
86,-342,22.330097087378643,8.24
87,-444,17.25663716814159,9.04
88,-342,23.853211009174313,8.72
89,-588,12.595419847328243,10.48
90,-447,19.34156378600823,9.719999999999999
91,-390,21.49122807017544,9.120000000000001
92,-330,24.299065420560748,8.559999999999999
93,-465,17.573221757322173,9.56
94,-480,17.21311475409836,9.76
95,-354,21.904761904761905,8.4
96,-561,13.8996138996139,10.36
97,-438,18.803418803418804,9.36
98,-471,17.695473251028808,9.719999999999999
99,-387,21.83406113537118,9.16
